Device,Brand,Model,OS,Age_Months,Daily_Usage_Hours,Failure_After_Months,Usage_Type,Season,RAM_GB,Storage_GB,Battery_%_At_Failure,Warranty_Status,Previous_Repairs,Symptom1,Symptom2,Symptom3,Faulty_Component,Severity,Repair_Cost_INR,Repair_Time_Days,Solution
Smart TV,Samsung,Neo QLED 4K QN95C,WebOS 22,20,7,10,Education,Summer,3,32,0,Under Warranty,2,WiFi Not Connecting,Slow Streaming,Network Error,WiFi Module,Medium,2703,3,Restart router and TV. Update firmware. Replace WiFi module.
Mobile,Xiaomi,POCO X5 Pro,iOS 15,68,14,52,Developer,Winter,4,64,70,Expired,2,Face ID Not Working,Cannot Setup Face ID,Recognition Failure,Face ID Sensor,Medium,4940,2,Recalibrate Face ID. Replace face recognition module if hardware fault.
Laptop,MSI,Stealth 16 Studio,Linux Mint,51,9,48,Healthcare,Autumn,32,512,68,Under Warranty,3,Slow Boot,Application Lag,Disk Health Alert,SSD,Medium,2241,2,Run SMART diagnostics. Defrag if HDD. Replace SSD if health below 70%.
Mobile,Motorola,Edge 50 Pro,Android 14,79,2,63,Normal,Autumn,8,1024,17,Under Warranty,1,Slow Charging,Charging Stops,Port Damaged,Charging Port,Medium,789,1,Replace charging port module.
Desktop,Acer,Predator Orion 3000,Windows 11 Pro,45,4,30,Education,Spring,64,1024,0,Extended Warranty,4,System Off Suddenly,Burn Smell,Power Loss,PSU,Critical,5111,3,Replace Power Supply Unit immediately. Do not use until replaced — fire risk.
Smartwatch,boAt,Storm Pro,Wear OS 3,58,14,56,Business,Spring,2,16,25,Extended Warranty,2,Fast Battery Drain,Not Charging,Battery Percentage Dropping Fast,Battery,High,2568,2,Calibrate battery. Reduce AOD and GPS usage. Replace battery if capacity below 70%.
Mobile,Realme,11 Pro+,iOS 15,4,9,2,Business,Winter,4,512,56,Under Warranty,3,Slow Charging,Charging Stops,Port Damaged,Charging Port,Medium,565,1,Replace charging port module.
Mobile,Oppo,A78,Android 12,25,12,11,Gaming,Summer,6,1024,21,Extended Warranty,2,Camera Not Opening,Autofocus Failure,Photos Not Saving,Camera,Medium,3175,4,Clear app data. Factory reset. Replace camera if hardware issue.
Mobile,Apple,iPhone 14,Android 12,35,14,23,Healthcare,Spring,8,128,78,Under Warranty,1,Flickering Screen,Lines On Screen,Touch OK,Display,High,11208,2,Replace AMOLED display panel. Use original parts for best quality.
Laptop,Dell,G15 Gaming,Linux Mint,23,1,20,Normal,Summer,16,256,42,Under Warranty,2,Charging Failure,Adapter Fault,Power Fluctuation,Charger,Medium,3445,1,Try different power outlet. Replace charger/adapter. Check charging port.
Smartwatch,Apple,Watch SE 2nd Gen 40mm,WatchOS 9,76,13,64,Office,Winter,1,16,7,Under Warranty,3,No Haptic Feedback,Weak Vibration,Notification Not Felt,Vibration Motor,Low,905,2,Check haptic settings. Replace vibration motor module.
Router,Mi,Router 4A Gigabit,RouterOS,29,9,23,Business,Spring,0,0,0,Under Warranty,3,Unequal Bandwidth,Gaming Lag,Video Buffering Despite Fast Speed,QoS Module,Low,368,1,Enable QoS in router settings. Prioritize gaming/streaming traffic.
Smartwatch,Apple,Watch SE 2nd Gen 40mm,Wear OS 3,77,12,60,Gaming,Winter,1,16,95,Extended Warranty,0,Fast Battery Drain,Not Charging,Battery Percentage Dropping Fast,Battery,High,4448,4,Calibrate battery. Reduce AOD and GPS usage. Replace battery if capacity below 70%.
Laptop,Lenovo,Legion 5 Pro,Windows 11 Home,49,8,32,Content Creator,Monsoon,16,256,28,Extended Warranty,3,Cursor Jumping,Touchpad Not Responding,Click Not Working,Touchpad,Low,2154,1,Update touchpad drivers. Adjust sensitivity. Replace touchpad if hardware fault.
Mobile,Xiaomi,12 Pro,iOS 16,67,12,61,Business,Summer,8,512,47,Extended Warranty,2,No Sound,Calls OK,Headphones Work,Speaker,Medium,986,1,"Clean speaker grille. If no improvement, replace speaker unit."
Printer,Canon,imageCLASS MF445dw,macOS Ventura,64,4,48,Gaming,Monsoon,0,0,0,Under Warranty,4,Smudged Print,Toner Not Sticking,Burning Smell From Printer,Fuser Unit,High,4126,5,Allow printer to cool. Replace fuser unit. Only for laser printers.
Mobile,Realme,C35,Android 12,81,13,78,Healthcare,Autumn,16,1024,6,Extended Warranty,1,Fast Battery Drain,Battery Swelling,Random Shutdown,Battery,High,1954,3,Replace battery at authorized service center. Cost varies by model.
Mobile,Xiaomi,Redmi Note 12,iOS 16,78,2,61,Developer,Autumn,8,512,70,Extended Warranty,4,Camera Not Opening,Autofocus Failure,Photos Not Saving,Camera,Medium,1828,4,Clear app data. Factory reset. Replace camera if hardware issue.
Laptop,Microsoft,Surface Book 3,Ubuntu 22.04,60,16,45,Developer,Autumn,32,2048,53,Extended Warranty,0,Slow Boot,Application Lag,Disk Health Alert,SSD,Medium,3892,4,Run SMART diagnostics. Defrag if HDD. Replace SSD if health below 70%.
Mobile,Vivo,Y56,iOS 17,76,11,69,Office,Spring,6,1024,6,Expired,3,Voice Breaks,Recorder Not Working,Calls Connected,Microphone,Medium,1097,1,Clean microphone. Replace microphone module if issue persists.
Mobile,Samsung,Galaxy M54,iOS 17,9,4,1,Office,Spring,12,256,49,Expired,3,No Network,SIM Not Detected,Network Dropping,SIM Card Slot,Medium,862,2,Clean SIM slot. Try different SIM. Replace SIM tray if bent.
Laptop,Dell,Alienware m18,Windows 11 Home,48,14,40,Business,Autumn,64,256,45,Under Warranty,4,Poor Backup,Battery Swelling,Heating,Battery,Medium,5735,2,Replace laptop battery. Use only manufacturer-approved battery.
Laptop,HP,Dragonfly Pro,macOS Sonoma,21,9,8,Normal,Autumn,32,256,29,Under Warranty,1,Display Artifacts,Screen Flickering,Game Crashes,GPU,High,13462,7,Update GPU drivers. Clean GPU. Replace dedicated GPU if discrete card faulty.
Laptop,MSI,Cyborg 15,macOS Ventura,45,14,44,Content Creator,Monsoon,32,256,72,Under Warranty,0,Hinge Broken,Lid Not Closing,Hinge Cracking,Hinge,Medium,4958,2,Replace laptop hinge. Physical repair at service center.
Laptop,Lenovo,V15 G4,Windows 11 Home,28,11,15,Office,Summer,8,256,13,Under Warranty,2,Poor Backup,Battery Swelling,Heating,Battery,Medium,4300,2,Replace laptop battery. Use only manufacturer-approved battery.
Router,Asus,ROG Rapture GT-BE98,OpenWRT,17,9,12,Gaming,Monsoon,0,0,0,Under Warranty,2,Router Hanging,Settings Reset,Cannot Access Admin Panel,Firmware,Medium,326,1,Update to latest firmware. Factory reset if issues persist. Reconfigure settings.
Desktop,HP,ProDesk 400 G9,Fedora 38,39,4,28,Normal,Winter,64,4096,0,Extended Warranty,3,No Boot,USB Not Working,Random Restart,Motherboard,Critical,15608,6,Check all connections. Replace CMOS battery. Motherboard may need replacement.
Tablet,Asus,ZenPad 10,Fire OS 8,44,13,28,Office,Autumn,3,128,58,Expired,0,Fast Drain,Not Charging,Random Shutdown,Battery,High,4758,3,Replace tablet battery at authorized service center.
Printer,HP,DeskJet 2755e,Windows 11,80,7,73,Normal,Spring,0,0,0,Expired,2,Paper Jam,Paper Not Feeding,Multiple Pages Feed,Paper Feed Roller,Medium,1743,2,Clean rollers with damp cloth. Replace feed rollers if worn out.
Tablet,OnePlus,Pad,Fire OS 8,8,16,5,Business,Summer,3,512,77,Expired,4,Home Button Not Working,Touch ID Failure,Button Stuck,Home Button,Low,2443,1,Recalibrate Touch ID. Replace home button assembly.
Laptop,Dell,XPS 15 9530,Windows 11 Pro,1,16,1,Normal,Spring,32,256,91,Extended Warranty,2,Storage Not Detected,Boot Failure,BIOS Error,SSD,High,3857,2,Check SATA/NVMe connection. Replace SSD. Reinstall OS.
Router,Tenda,AC23,AsusWRT,80,5,70,Healthcare,Monsoon,0,0,0,Expired,1,USB Storage Not Detected,Printer Sharing Fails,NAS Not Working,USB Port,Low,1293,2,Reformat USB drive to FAT32/NTFS. Update router firmware. Replace USB port.
Mobile,Vivo,X100 Pro,iOS 15,30,10,19,Office,Winter,6,128,49,Extended Warranty,4,Not Recognizing,Slow Response,Sensor Not Working,Fingerprint Sensor,Low,2906,2,Clean sensor. Re-register fingerprints. Replace sensor if faulty.
Smart TV,Samsung,The Frame LS03B,Google TV,75,8,64,Normal,Winter,3,16,0,Extended Warranty,0,WiFi Not Connecting,Slow Streaming,Network Error,WiFi Module,Medium,3820,3,Restart router and TV. Update firmware. Replace WiFi module.
Router,Tenda,AC18,Stock Firmware,29,10,17,Student,Monsoon,0,0,0,Expired,0,Router Hot To Touch,Randomly Disconnecting,Slow After Running Long,Overheating,Medium,477,1,Improve ventilation. Place router in open area. Consider adding heatsink.
Printer,Epson,SureColor P700,Windows 10,20,1,14,Student,Winter,0,0,0,Extended Warranty,0,Spots On Print,Ghost Images,Dark Patches On Pages,Drum Unit,High,3922,1,Replace drum unit. Clean corona wire if accessible.
Desktop,Lenovo,ThinkCentre M90q,Windows 11 Home,46,3,32,Education,Monsoon,32,4096,0,Under Warranty,1,Date Reset On Boot,BIOS Settings Lost,Boot Error,CMOS Battery,Low,155,1,Replace CMOS battery (CR2032). Reconfigure BIOS settings.
Router,Netgear,Nighthawk AX12,Stock Firmware,32,8,19,Education,Summer,0,0,0,Under Warranty,0,Unequal Bandwidth,Gaming Lag,Video Buffering Despite Fast Speed,QoS Module,Low,149,1,Enable QoS in router settings. Prioritize gaming/streaming traffic.
Mobile,Google,Pixel 7a,Android 13,81,9,68,Student,Winter,16,128,45,Expired,3,Bluetooth Not Connecting,Drops Connection,Cannot Pair,Bluetooth Module,Low,2692,2,Toggle Bluetooth off/on. Clear paired devices. Factory reset if issue persists.
Mobile,Xiaomi,Redmi Note 13 Pro+,Android 13,2,2,1,Healthcare,Summer,8,256,93,Under Warranty,2,No Sound,Calls OK,Headphones Work,Speaker,Medium,711,1,"Clean speaker grille. If no improvement, replace speaker unit."
Printer,Canon,PIXMA G6020,macOS Ventura,3,4,1,Office,Spring,0,0,0,Under Warranty,4,Paper Tray Error,Cannot Load Paper,Tray Not Detected,Paper Tray,Low,831,2,Clean paper tray sensors. Replace tray if cracked.
Laptop,Apple,MacBook Air 13 M3,Windows 11 Home,60,8,55,Healthcare,Autumn,64,1024,54,Extended Warranty,0,Fan Always Running,Loud Fan Noise,High CPU Temperature,Cooling Fan,Medium,707,1,Clean vents. Update BIOS. Replace thermal paste.
Laptop,Dell,Inspiron 14 5430,macOS Sonoma,54,5,49,Content Creator,Winter,16,512,7,Extended Warranty,2,Overheating,Fan Noise,Auto Shutdown,Cooling Fan,High,1489,1,Clean dust from fan/heatsink. Replace thermal paste. Replace fan if faulty.
Laptop,MSI,Creator Z16,Linux Mint,61,2,45,Gaming,Monsoon,8,512,33,Under Warranty,3,Thermal Throttling,High CPU Temp,Sudden Shutdown Under Load,Thermal Paste,Medium,887,1,Repaste CPU and GPU with high-quality thermal compound.
Mobile,Vivo,Y56,iOS 16,10,14,4,Content Creator,Monsoon,12,512,35,Extended Warranty,1,Blurry Photos,Camera App Crash,Black Screen In Camera,Camera,Medium,7100,2,"Clear camera cache. If issue persists, replace camera module."
Laptop,Asus,VivoBook 15,macOS Sonoma,63,4,48,Education,Summer,32,256,17,Expired,4,Thermal Throttling,High CPU Temp,Sudden Shutdown Under Load,Thermal Paste,Medium,905,1,Repaste CPU and GPU with high-quality thermal compound.
Laptop,Microsoft,Surface Laptop Studio 2,macOS Sonoma,32,12,17,Normal,Spring,64,2048,45,Extended Warranty,1,Camera Not Working,Blurry Video,Black Screen In Camera,Webcam,Low,1481,1,Update camera drivers. Check privacy shutter. Replace webcam module.
Tablet,Amazon,Fire HD 10,iPadOS 16,11,1,9,Healthcare,Winter,8,1024,32,Expired,2,Home Button Not Working,Touch ID Failure,Button Stuck,Home Button,Low,716,3,Recalibrate Touch ID. Replace home button assembly.
Mobile,Realme,C35,iOS 16,68,5,66,Content Creator,Winter,16,128,78,Extended Warranty,0,Green Tint,Dead Pixels,Burn In,Display,Medium,14477,3,Replace display panel. Burn-in not covered under warranty.
Tablet,Samsung,Galaxy Tab A9,Android 13,8,3,7,Normal,Summer,6,128,69,Under Warranty,3,Blurry Camera,Camera Not Opening,Autofocus Failure,Camera,Medium,3735,4,Clear camera app cache. Replace camera module if hardware fault.
Mobile,Realme,11 Pro,Android 14,60,14,59,Office,Autumn,6,256,84,Expired,1,Camera Not Opening,Autofocus Failure,Photos Not Saving,Camera,Medium,2331,3,Clear app data. Factory reset. Replace camera if hardware issue.
Laptop,Razer,Blade Stealth 13,Windows 11 Pro,81,12,70,Student,Summer,32,1024,64,Under Warranty,4,Random Crashes,Blue Screen,Memory Warning,RAM,High,2856,2,Reseat RAM sticks. Run memory diagnostics. Replace faulty RAM module.
Mobile,OnePlus,11,iOS 17,26,1,21,Content Creator,Summer,16,64,43,Extended Warranty,2,Not Recognizing,Slow Response,Sensor Not Working,Fingerprint Sensor,Low,1027,2,Clean sensor. Re-register fingerprints. Replace sensor if faulty.
Mobile,Samsung,Galaxy S24 Ultra,Android 14,42,1,26,Developer,Spring,4,256,35,Under Warranty,0,Slow Charging,Gets Hot While Charging,Charger Gets Hot,Charging IC,High,4906,4,"Try original charger. If issue persists, replace Charging IC."
Laptop,HP,Spectre x360 14,Windows 11 Home,80,16,67,Gaming,Autumn,8,1024,61,Under Warranty,4,Camera Not Working,Blurry Video,Black Screen In Camera,Webcam,Low,1223,1,Update camera drivers. Check privacy shutter. Replace webcam module.
Router,TP-Link,Archer AX90,DD-WRT,11,6,1,Healthcare,Autumn,0,0,0,Expired,3,No Wired Connection,Port Not Detected,Slow LAN Speed,LAN Port,Medium,742,2,Check ethernet cable. Try different LAN port. Replace router if multiple ports fail.
Smartwatch,Samsung,Galaxy Watch 6 44mm,Wear OS 4,32,1,30,Healthcare,Winter,2,8,71,Expired,1,Digital Crown Stuck,Button Not Responding,Crown Fallen Off,Crown Button,Low,1137,3,Clean around crown. Replace digital crown assembly.
Mobile,Apple,iPhone 14,iOS 17,59,15,53,Student,Autumn,12,512,66,Extended Warranty,1,Slow Charging,Charging Stops,Port Damaged,Charging Port,Medium,1571,2,Replace charging port module.
Smartwatch,Samsung,Galaxy Watch 6 44mm,Wear OS 3,7,14,2,Healthcare,Spring,1,8,76,Expired,3,No Sound From Watch,Call Audio Not Heard,Alarm Not Audible,Speaker,Low,1151,2,Check volume settings. Replace speaker unit.
Mobile,Motorola,Edge 40 Pro,iOS 16,24,6,7,Normal,Monsoon,4,128,22,Under Warranty,0,Cracked Screen,Touch Not Working,Display Broken,Display,High,14566,2,Replace display + digitizer assembly.
Laptop,Razer,Blade 18,Windows 11 Pro,50,12,42,Business,Summer,16,256,92,Extended Warranty,0,Lines On Screen,Display Flickering,Backlight Failure,Display,High,11938,2,Check display cable connection. Replace display panel if faulty.
Desktop,Apple,Mac Mini M2 Pro,Ubuntu 22.04,23,1,10,Developer,Summer,8,1024,0,Under Warranty,3,No Boot,USB Not Working,Random Restart,Motherboard,Critical,14993,8,Check all connections. Replace CMOS battery. Motherboard may need replacement.
Desktop,Custom Build,AMD Ryzen 7 7700X Build,Ubuntu 22.04,82,2,80,Content Creator,Winter,128,4096,0,Expired,2,No POST,System Not Starting,CPU Fan Spinning But No Display,CPU,Critical,28888,4,Reseat CPU. Check for bent pins. Replace CPU if damaged.
Mobile,Apple,iPhone 15,Android 13,61,4,52,Healthcare,Monsoon,16,256,6,Under Warranty,0,Green Tint,Dead Pixels,Burn In,Display,Medium,9815,1,Replace display panel. Burn-in not covered under warranty.
Tablet,Realme,Pad 2,iPadOS 17,7,3,1,Student,Winter,16,256,26,Under Warranty,4,Low Volume,Distorted Sound,No Audio,Speaker,Low,1407,2,Clean speaker grille. Replace speaker unit if hardware fault.
Laptop,Dell,G15 Gaming,macOS Ventura,82,2,80,Normal,Winter,16,2048,60,Expired,1,Charging Failure,Adapter Fault,Power Fluctuation,Charger,Medium,1378,1,Try different power outlet. Replace charger/adapter. Check charging port.
Laptop,Dell,Inspiron 14 5430,Windows 10,70,2,60,Business,Spring,32,1024,60,Extended Warranty,1,Fan Always Running,Loud Fan Noise,High CPU Temperature,Cooling Fan,Medium,1380,2,Clean vents. Update BIOS. Replace thermal paste.
Smartwatch,Apple,Watch Series 9 45mm,WatchOS 10,73,7,61,Education,Monsoon,1,16,91,Expired,4,Call Audio Not Clear,Voice Assistant Not Working,Mic Not Detected,Microphone,Low,2074,4,Clean microphone opening. Replace microphone module.
Mobile,Xiaomi,Redmi 12,iOS 17,60,9,53,Developer,Summer,12,64,32,Expired,4,Face ID Not Working,Cannot Setup Face ID,Recognition Failure,Face ID Sensor,Medium,6465,5,Recalibrate Face ID. Replace face recognition module if hardware fault.
Smartwatch,OnePlus,Watch,Fitbit OS 6,55,1,45,Student,Monsoon,2,16,61,Extended Warranty,0,Digital Crown Stuck,Button Not Responding,Crown Fallen Off,Crown Button,Low,2872,5,Clean around crown. Replace digital crown assembly.
Mobile,Xiaomi,14,iOS 15,46,14,31,Office,Winter,16,1024,85,Expired,0,Loose Connection,Intermittent Charging,Cable Moves Loosely,Charging Port,Medium,1330,1,"Clean charging port with compressed air. If issue persists, replace port."
Desktop,Asus,ProArt PA90,Windows 11 Pro,38,7,33,Education,Spring,8,2048,0,Extended Warranty,1,No Audio,Crackling Sound,Audio Device Not Found,Sound Card,Low,1482,1,Update audio drivers. Check connections. Replace sound card if needed.
Mobile,Oppo,A58,iOS 16,54,16,52,Office,Monsoon,4,128,79,Extended Warranty,0,WiFi Dropping,Slow WiFi,Cannot Connect,WiFi Module,Medium,3968,4,Forget network and reconnect. Update firmware. Replace WiFi module if issue persists.
Smart TV,LG,NanoCell NANO75,Fire TV,50,10,43,Office,Autumn,1,32,0,Expired,4,Dim Display,Dark Patches,Backlight Flickering,Backlight,High,3151,3,Replace LED backlight strips or backlight driver board.
Printer,HP,LaserJet MFP M428fdw,Windows 11,34,1,26,Education,Summer,0,0,0,Under Warranty,2,Light Print,Toner Low Warning,Streaks On Print,Toner Cartridge,Low,719,1,Shake toner cartridge gently. Replace if empty.
Laptop,Apple,MacBook Pro 14 M3 Pro,macOS Sonoma,57,5,54,Content Creator,Winter,8,512,36,Under Warranty,0,Poor Backup,Battery Swelling,Heating,Battery,Medium,3716,3,Replace laptop battery. Use only manufacturer-approved battery.
Smart TV,OnePlus,TV 32 Y1,Tizen 7.0,27,9,22,Education,Spring,1,32,0,Under Warranty,0,TV Not Starting,Standby Light Blinking,Shuts Down Randomly,Power Board,High,4046,4,Replace power supply board. Check capacitors for bulging.
Printer,Xerox,VersaLink B405,Windows 11,75,7,59,Healthcare,Monsoon,0,0,0,Extended Warranty,3,No Print Output,Blank Pages,Horizontal Lines On Print,Printhead,High,3912,3,"Run automated printhead cleaning. If issue persists, replace printhead."
Smartwatch,Fitbit,Inspire 3,Wear OS 3,37,1,25,Business,Winter,1,16,61,Extended Warranty,2,No GPS Signal,Inaccurate Location,GPS Not Locking,GPS Module,Medium,1413,5,Update firmware. Sync with phone. Replace GPS module if hardware fault.
Tablet,OnePlus,Pad Go,iPadOS 16,78,5,76,Gaming,Summer,8,64,73,Under Warranty,2,Home Button Not Working,Touch ID Failure,Button Stuck,Home Button,Low,1104,2,Recalibrate Touch ID. Replace home button assembly.
Laptop,Lenovo,LOQ 15,Ubuntu 22.04,39,13,35,Business,Spring,32,256,18,Expired,2,Battery Not Charging To 100%,Charging Slowly,Battery Percentage Inaccurate,Battery,Low,2176,3,Calibrate battery. Update power management drivers. Replace if capacity below 50%.
Desktop,Dell,OptiPlex 3000,Ubuntu 22.04,76,15,71,Developer,Summer,16,2048,0,Expired,4,Game Crashes,Visual Glitches,High GPU Temp,GPU,High,17656,6,Clean GPU fan. Repaste GPU. Update drivers. Replace GPU if artifacts persist.
Smartwatch,OnePlus,Watch,Wear OS 4,74,16,64,Normal,Winter,2,8,88,Extended Warranty,4,SpO2 Not Reading,Sensor Error,Blood Oxygen Inaccurate,SpO2 Sensor,Medium,2967,2,Clean sensor. Update firmware. Replace SpO2 sensor module.
